id,name,type,rarity,brand,basePower,baseAccuracy,baseLieResistance,baseLoft,maxDurability,baseDistance,ballSpeedMps,launchAngleDeg,spinRateRpm,expectedCarryYd,portraitSprite,portraitFull,controlSprite,startLevel,maxLevel,info,info_ja
club_wood_fyloe_legendary,Wood FYLOE,Wood,Legendary,FYLOE,78,49,18,18,100,235,73.7,9.2,3728,258,S_Menu_Wood_FYLOE,Wood-Fyloe,S_Controls_Wood_FYLOE,160,199,"FYLOE's masterwork fairway wood escapes anything — rough, sand, bad decisions.",FYLOEの傑作級のウッド。ラフも砂も、判断ミスさえも脱出させる。
club_wood_fyloe_supreme,Wood FYLOE,Wood,Supreme,FYLOE,88,56,20,21,120,244,75.8,9.2,3801,268,S_Menu_Wood_FYLOE,Wood-Fyloe,S_Controls_Wood_FYLOE,200,239,"FYLOE's flagship fairway wood escapes anything — rough, sand, bad decisions.",FYLOEの最高峰のウッド。ラフも砂も、判断ミスさえも脱出させる。
club_iron_fyloe_common,Iron 6 FYLOE,Iron,Common,FYLOE,32,30,14,15,60,138,48.3,16.3,6671,152,S_Menu_Iron_FYLOE,Iron-Fyloe,S_Controls_Iron_FYLOE,10,39,"FYLOE's entry-level 6-iron escapes anything — rough, sand, bad decisions.",FYLOEの入門用アイアン。ラフも砂も、判断ミスさえも脱出させる。
club_iron_fyloe_uncommon,Iron 6 FYLOE,Iron,Uncommon,FYLOE,41,38,18,19,70,146,50.0,16.3,6813,160,S_Menu_Iron_FYLOE,Iron-Fyloe,S_Controls_Iron_FYLOE,40,79,"FYLOE's step-up 6-iron escapes anything — rough, sand, bad decisions.",FYLOEの上位モデルのアイアン。ラフも砂も、判断ミスさえも脱出させる。
club_iron_fyloe_rare,Iron 6 FYLOE,Iron,Rare,FYLOE,50,47,22,23,80,154,51.9,16.3,6955,169,S_Menu_Iron_FYLOE,Iron-Fyloe,S_Controls_Iron_FYLOE,80,119,"FYLOE's refined 6-iron escapes anything — rough, sand, bad decisions.",FYLOEの洗練されたアイアン。ラフも砂も、判断ミスさえも脱出させる。
club_iron_fyloe_mythic,Iron 6 FYLOE,Iron,Mythic,FYLOE,58,55,26,27,90,160,53.3,16.3,7097,176,S_Menu_Iron_FYLOE,Iron-Fyloe,S_Controls_Iron_FYLOE,120,159,"FYLOE's elite 6-iron escapes anything — rough, sand, bad decisions.",FYLOEのエリート級のアイアン。ラフも砂も、判断ミスさえも脱出させる。
club_iron_fyloe_legendary,Iron 6 FYLOE,Iron,Legendary,FYLOE,67,63,30,31,100,167,55.0,16.3,7239,184,S_Menu_Iron_FYLOE,Iron-Fyloe,S_Controls_Iron_FYLOE,160,199,"FYLOE's masterwork 6-iron escapes anything — rough, sand, bad decisions.",FYLOEの傑作級のアイアン。ラフも砂も、判断ミスさえも脱出させる。
club_iron_fyloe_supreme,Iron 6 FYLOE,Iron,Supreme,FYLOE,76,72,34,35,120,175,56.7,16.3,7381,192,S_Menu_Iron_FYLOE,Iron-Fyloe,S_Controls_Iron_FYLOE,200,239,"FYLOE's flagship 6-iron escapes anything — rough, sand, bad decisions.",FYLOEの最高峰のアイアン。ラフも砂も、判断ミスさえも脱出させる。
club_pwedge_fyloe_common,P.Wedge FYLOE,P.Wedge,Common,FYLOE,22,33,31,26,60,112,43.3,22.0,8272,123,S_Menu_Wedge_FYLOE,Wedge-Fyloe,S_Controls_Wedge_FYLOE,10,39,"FYLOE's entry-level pitching wedge escapes anything — rough, sand, bad decisions.",FYLOEの入門用ピッチングウェッジ。ラフも砂も、判断ミスさえも脱出させる。
club_pwedge_fyloe_uncommon,P.Wedge FYLOE,P.Wedge,Uncommon,FYLOE,28,42,40,34,70,118,44.7,22.0,8448,130,S_Menu_Wedge_FYLOE,Wedge-Fyloe,S_Controls_Wedge_FYLOE,40,79,"FYLOE's step-up pitching wedge escapes anything — rough, sand, bad decisions.",FYLOEの上位モデルのピッチングウェッジ。ラフも砂も、判断ミスさえも脱出させる。
club_pwedge_fyloe_rare,P.Wedge FYLOE,P.Wedge,Rare,FYLOE,34,51,48,41,80,125,46.2,22.0,8624,137,S_Menu_Wedge_FYLOE,Wedge-Fyloe,S_Controls_Wedge_FYLOE,80,119,"FYLOE's refined pitching wedge escapes anything — rough, sand, bad decisions.",FYLOEの洗練されたピッチングウェッジ。ラフも砂も、判断ミスさえも脱出させる。
club_pwedge_fyloe_mythic,P.Wedge FYLOE,P.Wedge,Mythic,FYLOE,40,60,57,48,90,130,47.5,22.0,8800,143,S_Menu_Wedge_FYLOE,Wedge-Fyloe,S_Controls_Wedge_FYLOE,120,159,"FYLOE's elite pitching wedge escapes anything — rough, sand, bad decisions.",FYLOEのエリート級のピッチングウェッジ。ラフも砂も、判断ミスさえも脱出させる。
club_pwedge_fyloe_legendary,P.Wedge FYLOE,P.Wedge,Legendary,FYLOE,47,69,65,55,100,136,48.7,22.0,8976,149,S_Menu_Wedge_FYLOE,Wedge-Fyloe,S_Controls_Wedge_FYLOE,160,199,"FYLOE's masterwork pitching wedge escapes anything — rough, sand, bad decisions.",FYLOEの傑作級のピッチングウェッジ。ラフも砂も、判断ミスさえも脱出させる。
club_pwedge_fyloe_supreme,P.Wedge FYLOE,P.Wedge,Supreme,FYLOE,53,78,74,62,120,141,50.0,22.0,9152,155,S_Menu_Wedge_FYLOE,Wedge-Fyloe,S_Controls_Wedge_FYLOE,200,239,"FYLOE's flagship pitching wedge escapes anything — rough, sand, bad decisions.",FYLOEの最高峰のピッチングウェッジ。ラフも砂も、判断ミスさえも脱出させる。
club_awedge_fyloe_common,A.Wedge FYLOE,A.Wedge,Common,FYLOE,16,30,39,32,60,100,40.6,24.0,8742,110,S_Menu_Wedge_FYLOE,Wedge-Fyloe,S_Controls_Wedge_FYLOE,10,39,"FYLOE's entry-level approach wedge escapes anything — rough, sand, bad decisions.",FYLOEの入門用アプローチウェッジ。ラフも砂も、判断ミスさえも脱出させる。
club_awedge_fyloe_uncommon,A.Wedge FYLOE,A.Wedge,Uncommon,FYLOE,21,38,50,41,70,106,41.8,24.0,8928,116,S_Menu_Wedge_FYLOE,Wedge-Fyloe,S_Controls_Wedge_FYLOE,40,79,"FYLOE's step-up approach wedge escapes anything — rough, sand, bad decisions.",FYLOEの上位モデルのアプローチウェッジ。ラフも砂も、判断ミスさえも脱出させる。
club_awedge_fyloe_rare,A.Wedge FYLOE,A.Wedge,Rare,FYLOE,25,47,60,49,80,111,43.1,24.0,9114,122,S_Menu_Wedge_FYLOE,Wedge-Fyloe,S_Controls_Wedge_FYLOE,80,119,"FYLOE's refined approach wedge escapes anything — rough, sand, bad decisions.",FYLOEの洗練されたアプローチウェッジ。ラフも砂も、判断ミスさえも脱出させる。
club_awedge_fyloe_legendary,A.Wedge FYLOE,A.Wedge,Legendary,FYLOE,34,63,81,67,100,121,45.4,24.0,9486,133,S_Menu_Wedge_FYLOE,Wedge-Fyloe,S_Controls_Wedge_FYLOE,160,199,"FYLOE's masterwork approach wedge escapes anything — rough, sand, bad decisions.",FYLOEの傑作級のアプローチウェッジ。ラフも砂も、判断ミスさえも脱出させる。
club_awedge_fyloe_supreme,A.Wedge FYLOE,A.Wedge,Supreme,FYLOE,39,72,92,75,120,126,46.6,24.0,9672,139,S_Menu_Wedge_FYLOE,Wedge-Fyloe,S_Controls_Wedge_FYLOE,200,239,"FYLOE's flagship approach wedge escapes anything — rough, sand, bad decisions.",FYLOEの最高峰のアプローチウェッジ。ラフも砂も、判断ミスさえも脱出させる。
club_swedge_fyloe_common,S.Wedge FYLOE,S.Wedge,Common,FYLOE,13,26,45,36,60,87,37.6,26.5,9212,96,S_Menu_Wedge_FYLOE,Wedge-Fyloe,S_Controls_Wedge_FYLOE,10,39,"FYLOE's entry-level sand wedge escapes anything — rough, sand, bad decisions.",FYLOEの入門用サンドウェッジ。ラフも砂も、判断ミスさえも脱出させる。
club_swedge_fyloe_uncommon,S.Wedge FYLOE,S.Wedge,Uncommon,FYLOE,17,34,58,46,70,93,38.9,26.5,9408,102,S_Menu_Wedge_FYLOE,Wedge-Fyloe,S_Controls_Wedge_FYLOE,40,79,"FYLOE's step-up sand wedge escapes anything — rough, sand, bad decisions.",FYLOEの上位モデルのサンドウェッジ。ラフも砂も、判断ミスさえも脱出させる。
club_swedge_fyloe_rare,S.Wedge FYLOE,S.Wedge,Rare,FYLOE,21,41,70,56,80,98,40.2,26.5,9604,108,S_Menu_Wedge_FYLOE,Wedge-Fyloe,S_Controls_Wedge_FYLOE,80,119,"FYLOE's refined sand wedge escapes anything — rough, sand, bad decisions.",FYLOEの洗練されたサンドウェッジ。ラフも砂も、判断ミスさえも脱出させる。
club_swedge_fyloe_mythic,S.Wedge FYLOE,S.Wedge,Mythic,FYLOE,24,48,83,66,90,104,41.4,26.5,9800,114,S_Menu_Wedge_FYLOE,Wedge-Fyloe,S_Controls_Wedge_FYLOE,120,159,"FYLOE's elite sand wedge escapes anything — rough, sand, bad decisions.",FYLOEのエリート級のサンドウェッジ。ラフも砂も、判断ミスさえも脱出させる。
club_swedge_fyloe_legendary,S.Wedge FYLOE,S.Wedge,Legendary,FYLOE,28,55,95,76,100,109,42.7,26.5,9996,120,S_Menu_Wedge_FYLOE,Wedge-Fyloe,S_Controls_Wedge_FYLOE,160,199,"FYLOE's masterwork sand wedge escapes anything — rough, sand, bad decisions.",FYLOEの傑作級のサンドウェッジ。ラフも砂も、判断ミスさえも脱出させる。
club_swedge_fyloe_supreme,S.Wedge FYLOE,S.Wedge,Supreme,FYLOE,32,62,107,86,120,114,43.7,26.5,10192,125,S_Menu_Wedge_FYLOE,Wedge-Fyloe,S_Controls_Wedge_FYLOE,200,239,"FYLOE's flagship sand wedge escapes anything — rough, sand, bad decisions.",FYLOEの最高峰のサンドウェッジ。ラフも砂も、判断ミスさえも脱出させる。
club_putter_fyloe_common,Putter FYLOE,Putter,Common,FYLOE,16,44,21,3,60,30,5.0,5.0,0,30,S_Menu_Putter_FYLOE,Putter-Fyloe,S_Controls_Putter_FYLOE,10,39,"FYLOE's entry-level putter escapes anything — rough, sand, bad decisions.",FYLOEの入門用パター。ラフも砂も、判断ミスさえも脱出させる。
club_putter_fyloe_uncommon,Putter FYLOE,Putter,Uncommon,FYLOE,20,56,26,4,70,30,5.0,5.0,0,30,S_Menu_Putter_FYLOE,Putter-Fyloe,S_Controls_Putter_FYLOE,40,79,"FYLOE's step-up putter escapes anything — rough, sand, bad decisions.",FYLOEの上位モデルのパター。ラフも砂も、判断ミスさえも脱出させる。
club_putter_fyloe_rare,Putter FYLOE,Putter,Rare,FYLOE,24,68,32,4,80,30,5.0,5.0,0,30,S_Menu_Putter_FYLOE,Putter-Fyloe,S_Controls_Putter_FYLOE,80,119,"FYLOE's refined putter escapes anything — rough, sand, bad decisions.",FYLOEの洗練されたパター。ラフも砂も、判断ミスさえも脱出させる。
club_putter_fyloe_mythic,Putter FYLOE,Putter,Mythic,FYLOE,29,80,38,5,90,30,5.0,5.0,0,30,S_Menu_Putter_FYLOE,Putter-Fyloe,S_Controls_Putter_FYLOE,120,159,"FYLOE's elite putter escapes anything — rough, sand, bad decisions.",FYLOEのエリート級のパター。ラフも砂も、判断ミスさえも脱出させる。
club_putter_fyloe_legendary,Putter FYLOE,Putter,Legendary,FYLOE,33,92,43,6,100,30,5.0,5.0,0,30,S_Menu_Putter_FYLOE,Putter-Fyloe,S_Controls_Putter_FYLOE,160,199,"FYLOE's masterwork putter escapes anything — rough, sand, bad decisions.",FYLOEの傑作級のパター。ラフも砂も、判断ミスさえも脱出させる。
club_putter_fyloe_supreme,Putter FYLOE,Putter,Supreme,FYLOE,37,104,49,6,120,30,5.0,5.0,0,30,S_Menu_Putter_FYLOE,Putter-Fyloe,S_Controls_Putter_FYLOE,200,239,"FYLOE's flagship putter escapes anything — rough, sand, bad decisions.",FYLOEの最高峰のパター。ラフも砂も、判断ミスさえも脱出させる。
club_driver_eaglez_common,Driver EAGLEZ,Driver,Common,EAGLEZ,55,17,6,7,60,241,72.9,10.9,2525,265,S_Menu_Driver_EAGLEZ,Driver-Eaglez,S_Controls_Driver_EAGLEZ,10,39,EAGLEZ built this entry-level driver for one thing: outrageous distance. Aim is your problem.,EAGLEZの入門用ドライバー。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_driver_eaglez_uncommon,Driver EAGLEZ,Driver,Uncommon,EAGLEZ,70,22,8,9,70,253,75.6,10.9,2579,278,S_Menu_Driver_EAGLEZ,Driver-Eaglez,S_Controls_Driver_EAGLEZ,40,79,EAGLEZ built this step-up driver for one thing: outrageous distance. Aim is your problem.,EAGLEZの上位モデルのドライバー。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_driver_eaglez_rare,Driver EAGLEZ,Driver,Rare,EAGLEZ,85,26,9,11,80,266,78.5,10.9,2632,292,S_Menu_Driver_EAGLEZ,Driver-Eaglez,S_Controls_Driver_EAGLEZ,80,119,EAGLEZ built this refined driver for one thing: outrageous distance. Aim is your problem.,EAGLEZの洗練されたドライバー。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_driver_eaglez_mythic,Driver EAGLEZ,Driver,Mythic,EAGLEZ,100,31,11,13,90,277,81.1,10.9,2686,304,S_Menu_Driver_EAGLEZ,Driver-Eaglez,S_Controls_Driver_EAGLEZ,120,159,EAGLEZ built this elite driver for one thing: outrageous distance. Aim is your problem.,EAGLEZのエリート級のドライバー。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_driver_eaglez_legendary,Driver EAGLEZ,Driver,Legendary,EAGLEZ,115,36,13,15,100,288,83.6,10.9,2740,316,S_Menu_Driver_EAGLEZ,Driver-Eaglez,S_Controls_Driver_EAGLEZ,160,199,EAGLEZ built this masterwork driver for one thing: outrageous distance. Aim is your problem.,EAGLEZの傑作級のドライバー。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_driver_eaglez_supreme,Driver EAGLEZ,Driver,Supreme,EAGLEZ,120,41,14,17,120,299,86.3,10.9,2793,329,S_Menu_Driver_EAGLEZ,Driver-Eaglez,S_Controls_Driver_EAGLEZ,200,239,EAGLEZ built this flagship driver for one thing: outrageous distance. Aim is your problem.,EAGLEZの最高峰のドライバー。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_wood_eaglez_common,Wood EAGLEZ,Wood,Common,EAGLEZ,49,19,7,9,60,214,68.9,9.2,3436,235,S_Menu_Wood_EAGLEZ,Wood-Eaglez,S_Controls_Wood_EAGLEZ,10,39,EAGLEZ built this entry-level fairway wood for one thing: outrageous distance. Aim is your problem.,EAGLEZの入門用ウッド。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_wood_eaglez_uncommon,Wood EAGLEZ,Wood,Uncommon,EAGLEZ,62,25,9,11,70,224,71.2,9.2,3509,246,S_Menu_Wood_EAGLEZ,Wood-Eaglez,S_Controls_Wood_EAGLEZ,40,79,EAGLEZ built this step-up fairway wood for one thing: outrageous distance. Aim is your problem.,EAGLEZの上位モデルのウッド。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_wood_eaglez_rare,Wood EAGLEZ,Wood,Rare,EAGLEZ,75,30,11,14,80,235,73.7,9.2,3582,258,S_Menu_Wood_EAGLEZ,Wood-Eaglez,S_Controls_Wood_EAGLEZ,80,119,EAGLEZ built this refined fairway wood for one thing: outrageous distance. Aim is your problem.,EAGLEZの洗練されたウッド。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_wood_eaglez_mythic,Wood EAGLEZ,Wood,Mythic,EAGLEZ,88,35,13,16,90,244,75.8,9.2,3655,268,S_Menu_Wood_EAGLEZ,Wood-Eaglez,S_Controls_Wood_EAGLEZ,120,159,EAGLEZ built this elite fairway wood for one thing: outrageous distance. Aim is your problem.,EAGLEZのエリート級のウッド。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_wood_eaglez_legendary,Wood EAGLEZ,Wood,Legendary,EAGLEZ,102,41,15,18,100,254,78.1,9.2,3728,279,S_Menu_Wood_EAGLEZ,Wood-Eaglez,S_Controls_Wood_EAGLEZ,160,199,EAGLEZ built this masterwork fairway wood for one thing: outrageous distance. Aim is your problem.,EAGLEZの傑作級のウッド。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_wood_eaglez_supreme,Wood EAGLEZ,Wood,Supreme,EAGLEZ,115,46,17,21,120,263,80.2,9.2,3801,289,S_Menu_Wood_EAGLEZ,Wood-Eaglez,S_Controls_Wood_EAGLEZ,200,239,EAGLEZ built this flagship fairway wood for one thing: outrageous distance. Aim is your problem.,EAGLEZの最高峰のウッド。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_iron_eaglez_common,Iron 5 EAGLEZ,Iron,Common,EAGLEZ,42,25,12,15,60,149,50.8,16.3,6671,164,S_Menu_Iron_EAGLEZ,Iron-Eaglez,S_Controls_Iron_EAGLEZ,10,39,EAGLEZ built this entry-level 5-iron for one thing: outrageous distance. Aim is your problem.,EAGLEZの入門用アイアン。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_iron_eaglez_uncommon,Iron 5 EAGLEZ,Iron,Uncommon,EAGLEZ,54,32,15,19,70,157,52.7,16.3,6813,173,S_Menu_Iron_EAGLEZ,Iron-Eaglez,S_Controls_Iron_EAGLEZ,40,79,EAGLEZ built this step-up 5-iron for one thing: outrageous distance. Aim is your problem.,EAGLEZの上位モデルのアイアン。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_iron_eaglez_rare,Iron 5 EAGLEZ,Iron,Rare,EAGLEZ,65,38,19,23,80,166,54.6,16.3,6955,182,S_Menu_Iron_EAGLEZ,Iron-Eaglez,S_Controls_Iron_EAGLEZ,80,119,EAGLEZ built this refined 5-iron for one thing: outrageous distance. Aim is your problem.,EAGLEZの洗練されたアイアン。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_iron_eaglez_mythic,Iron 5 EAGLEZ,Iron,Mythic,EAGLEZ,77,45,22,27,90,174,56.5,16.3,7097,191,S_Menu_Iron_EAGLEZ,Iron-Eaglez,S_Controls_Iron_EAGLEZ,120,159,EAGLEZ built this elite 5-iron for one thing: outrageous distance. Aim is your problem.,EAGLEZのエリート級のアイアン。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_iron_eaglez_legendary,Iron 5 EAGLEZ,Iron,Legendary,EAGLEZ,88,52,25,31,100,181,58.1,16.3,7239,199,S_Menu_Iron_EAGLEZ,Iron-Eaglez,S_Controls_Iron_EAGLEZ,160,199,EAGLEZ built this masterwork 5-iron for one thing: outrageous distance. Aim is your problem.,EAGLEZの傑作級のアイアン。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_iron_eaglez_supreme,Iron 5 EAGLEZ,Iron,Supreme,EAGLEZ,100,59,29,35,120,189,60.0,16.3,7381,208,S_Menu_Iron_EAGLEZ,Iron-Eaglez,S_Controls_Iron_EAGLEZ,200,239,EAGLEZ built this flagship 5-iron for one thing: outrageous distance. Aim is your problem.,EAGLEZの最高峰のアイアン。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_pwedge_eaglez_common,P.Wedge EAGLEZ,P.Wedge,Common,EAGLEZ,29,27,26,26,60,122,45.6,22.0,8272,134,S_Menu_Wedge_EAGLEZ,Wedge-Eaglez,S_Controls_Wedge_EAGLEZ,10,39,EAGLEZ built this entry-level pitching wedge for one thing: outrageous distance. Aim is your problem.,EAGLEZの入門用ピッチングウェッジ。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_pwedge_eaglez_uncommon,P.Wedge EAGLEZ,P.Wedge,Uncommon,EAGLEZ,37,34,34,34,70,128,47.0,22.0,8448,141,S_Menu_Wedge_EAGLEZ,Wedge-Eaglez,S_Controls_Wedge_EAGLEZ,40,79,EAGLEZ built this step-up pitching wedge for one thing: outrageous distance. Aim is your problem.,EAGLEZの上位モデルのピッチングウェッジ。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_pwedge_eaglez_rare,P.Wedge EAGLEZ,P.Wedge,Rare,EAGLEZ,45,42,41,41,80,135,48.5,22.0,8624,148,S_Menu_Wedge_EAGLEZ,Wedge-Eaglez,S_Controls_Wedge_EAGLEZ,80,119,EAGLEZ built this refined pitching wedge for one thing: outrageous distance. Aim is your problem.,EAGLEZの洗練されたピッチングウェッジ。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_pwedge_eaglez_mythic,P.Wedge EAGLEZ,P.Wedge,Mythic,EAGLEZ,53,49,48,48,90,141,50.0,22.0,8800,155,S_Menu_Wedge_EAGLEZ,Wedge-Eaglez,S_Controls_Wedge_EAGLEZ,120,159,EAGLEZ built this elite pitching wedge for one thing: outrageous distance. Aim is your problem.,EAGLEZのエリート級のピッチングウェッジ。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_pwedge_eaglez_legendary,P.Wedge EAGLEZ,P.Wedge,Legendary,EAGLEZ,61,57,55,55,100,147,51.2,22.0,8976,161,S_Menu_Wedge_EAGLEZ,Wedge-Eaglez,S_Controls_Wedge_EAGLEZ,160,199,EAGLEZ built this masterwork pitching wedge for one thing: outrageous distance. Aim is your problem.,EAGLEZの傑作級のピッチングウェッジ。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_pwedge_eaglez_supreme,P.Wedge EAGLEZ,P.Wedge,Supreme,EAGLEZ,69,64,62,62,120,152,52.5,22.0,9152,167,S_Menu_Wedge_EAGLEZ,Wedge-Eaglez,S_Controls_Wedge_EAGLEZ,200,239,EAGLEZ built this flagship pitching wedge for one thing: outrageous distance. Aim is your problem.,EAGLEZの最高峰のピッチングウェッジ。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_awedge_eaglez_common,A.Wedge EAGLEZ,A.Wedge,Common,EAGLEZ,21,25,33,32,60,108,42.5,24.0,8742,119,S_Menu_Wedge_EAGLEZ,Wedge-Eaglez,S_Controls_Wedge_EAGLEZ,10,39,EAGLEZ built this entry-level approach wedge for one thing: outrageous distance. Aim is your problem.,EAGLEZの入門用アプローチウェッジ。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_awedge_eaglez_uncommon,A.Wedge EAGLEZ,A.Wedge,Uncommon,EAGLEZ,27,32,42,41,70,114,43.7,24.0,8928,125,S_Menu_Wedge_EAGLEZ,Wedge-Eaglez,S_Controls_Wedge_EAGLEZ,40,79,EAGLEZ built this step-up approach wedge for one thing: outrageous distance. Aim is your problem.,EAGLEZの上位モデルのアプローチウェッジ。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_awedge_eaglez_rare,A.Wedge EAGLEZ,A.Wedge,Rare,EAGLEZ,33,38,51,49,80,119,45.0,24.0,9114,131,S_Menu_Wedge_EAGLEZ,Wedge-Eaglez,S_Controls_Wedge_EAGLEZ,80,119,EAGLEZ built this refined approach wedge for one thing: outrageous distance. Aim is your problem.,EAGLEZの洗練されたアプローチウェッジ。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_awedge_eaglez_mythic,A.Wedge EAGLEZ,A.Wedge,Mythic,EAGLEZ,39,45,60,58,90,126,46.4,24.0,9300,138,S_Menu_Wedge_EAGLEZ,Wedge-Eaglez,S_Controls_Wedge_EAGLEZ,120,159,EAGLEZ built this elite approach wedge for one thing: outrageous distance. Aim is your problem.,EAGLEZのエリート級のアプローチウェッジ。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_awedge_eaglez_legendary,A.Wedge EAGLEZ,A.Wedge,Legendary,EAGLEZ,45,52,69,67,100,131,47.7,24.0,9486,144,S_Menu_Wedge_EAGLEZ,Wedge-Eaglez,S_Controls_Wedge_EAGLEZ,160,199,EAGLEZ built this masterwork approach wedge for one thing: outrageous distance. Aim is your problem.,EAGLEZの傑作級のアプローチウェッジ。目的はただ一つ、規格外の飛距離。方向は自己責任。
