TIP_FORECAST,THE AIM LINE SHOWS <color=#EEDC9A>CARRY</color> ONLY. WIND AND ROLL ARE ON YOU: CHECK THE <color=#EEDC9A>WIND ARROW</color> TOP-LEFT BEFORE EVERY SHOT,エイムラインは<color=#EEDC9A>キャリー</color>のみ。風と転がりは自分で読もう。毎ショット左上の<color=#EEDC9A>風の矢印</color>を確認,true
TIP_RARITIES,DIFFERENT <color=#EEDC9A>RARITIES</color> BESTOW DIFFERENT INITIAL STATS AND <color=#EEDC9A>MAX LEVEL</color>,<color=#EEDC9A>レア度</color>によって初期ステータスと<color=#EEDC9A>最大レベル</color>が異なる,true
TIP_CONTROLS,"NOT A FLICK FAN? <color=#EEDC9A>SETTINGS › CONTROLS</color> OFFERS PENDULUM, TAP TIMING AND FREE SWING. THE SHOT PHYSICS NEVER CHANGE",フリックが合わない？<color=#EEDC9A>設定 › 操作方法</color>で振り子・タップタイミング・フリースイングを選べる。ショットの物理は変わらない,true
TIP_PENDULUM,"<color=#EEDC9A>PENDULUM</color>: PULL STRAIGHT BACK, THEN FLICK UP WHEN THE MARKER HITS THE <color=#EEDC9A>RED CENTRE</color>. HIGHER CLUB CONTROL SLOWS THE MARKER",<color=#EEDC9A>振り子</color>：まっすぐ引いて、マーカーが<color=#EEDC9A>赤い中心</color>に来た瞬間に上へフリック。クラブコントロールが高いほどマーカーは遅くなる,true
TIP_TAPTIMING,"<color=#EEDC9A>TAP TIMING</color>: PULL AND RELEASE, THEN TAP TO STOP THE NEEDLE IN THE <color=#EEDC9A>GREEN</color>. EARLY HOOKS LEFT, LATE SLICES RIGHT",<color=#EEDC9A>タップタイミング</color>：引いて離し、針が<color=#EEDC9A>緑</color>に入ったらタップで止める。早いとフック、遅いとスライス,true
TIP_FREESWING,"<color=#EEDC9A>FREE SWING</color>: DRAG DOWN FOR POWER, THEN SWING UP THROUGH THE <color=#EEDC9A>IMPACT LINE</color>. AN ANGLED PATH SHAPES A DRAW OR FADE",<color=#EEDC9A>フリースイング</color>：下にドラッグしてパワー、<color=#EEDC9A>インパクト線</color>を上に通過して打つ。斜めに振るとドローやフェードになる,true
TIP_OVERPOWER,"PULL PAST THE <color=#EEDC9A>GOLD LINE</color> FOR UP TO <color=#EEDC9A>120%</color> POWER. HARDER TO TIME, AND NEVER ON A PUTT",<color=#EEDC9A>金線</color>を越えて引くと最大<color=#EEDC9A>120%</color>パワー。タイミングは難しくなり、パットでは使えない,true
TIP_SPIN,DRAG THE DOT ON THE <color=#EEDC9A>SPIN</color> DISC TO SHAPE YOUR FLIGHT. A BALL WITH MORE SPIN UNLOCKS A BIGGER DISC,<color=#EEDC9A>スピン</color>ディスクのドットをドラッグして弾道を調整。スピンの高いボールほどディスクが広がる,true
TIP_FADEDRAW,ARM <color=#EEDC9A>FADE/DRAW</color> AND SLIDE THE CLUB IN THE CONE TO CURVE THE BALL AROUND TROUBLE,<color=#EEDC9A>フェード/ドロー</color>をオンにしてコーン内でクラブをスライド。障害物を曲げてかわそう,true
TIP_AUTOCLUB,"THE GAME PICKS A <color=#EEDC9A>CLUB</color> FOR EVERY SHOT: DRIVER OFF THE TEE, PUTTER ON THE GREEN. A MANUAL PICK LASTS ONE SHOT",<color=#EEDC9A>クラブ</color>は毎ショット自動で選ばれる：ティーではドライバー、グリーンではパター。手動選択はそのショット限り,true
TIP_STATS,<color=#EEDC9A>STRENGTH</color> ADDS POWER. <color=#EEDC9A>CLUB CONTROL</color> STEADIES YOUR AIM. <color=#EEDC9A>STAMINA</color> IS A BIGGER TANK. <color=#EEDC9A>RECOVERY</color> REFILLS IT FASTER,<color=#EEDC9A>ストレングス</color>はパワー。<color=#EEDC9A>クラブコントロール</color>は狙いの安定。<color=#EEDC9A>スタミナ</color>はタンクの大きさ。<color=#EEDC9A>リカバリー</color>は回復の速さ,true
TIP_CONDITION,"EVERY HOLE COSTS <color=#EEDC9A>CONDITION</color>. BELOW 70% YOUR STRENGTH AND CLUB CONTROL SLIP. REST, OR <color=#EEDC9A>BOOST</color> FROM THE ROSTER",ホールごとに<color=#EEDC9A>コンディション</color>を消費。70%を下回るとストレングスとクラブコントロールが落ちる。休むか、ロスターから<color=#EEDC9A>ブースト</color>,true
TIP_LEVELUP,<color=#EEDC9A>LEVEL UP</color> WITH REWARD POINTS AND SPEND <color=#EEDC9A>SKILL POINTS</color> ON THE STATS YOU WANT. RARITY SETS THE CAPS,リワードポイントで<color=#EEDC9A>レベルアップ</color>し、<color=#EEDC9A>スキルポイント</color>を好きなステータスに振ろう。上限はレア度で決まる,true
TIP_CLUBSTATS,"CLUBS TRADE <color=#EEDC9A>POWER</color>, <color=#EEDC9A>ACCURACY</color> AND LIE RESISTANCE. HIGHER ACCURACY MEANS A TIGHTER AIM CONE",クラブは<color=#EEDC9A>パワー</color>・<color=#EEDC9A>精度</color>・ライ抵抗のトレードオフ。精度が高いほどエイムコーンは狭くなる,true
TIP_BALLS,"BALLS ARE TRADE-OFFS, NOT UPGRADES: POWER, REBOUND, <color=#EEDC9A>WIND RES.</color>, ROLL AND <color=#EEDC9A>SPIN</color>. THE GOLFIN BALL IS THE NEUTRAL BASELINE",ボールは上位互換ではなくトレードオフ：パワー・跳ね・<color=#EEDC9A>耐風</color>・転がり・<color=#EEDC9A>スピン</color>。GOLFINボールが基準,true
TIP_SURFACES,"WHERE YOU LAND MATTERS: <color=#EEDC9A>FAIRWAY</color>, FRINGE, ROUGH, <color=#EEDC9A>BUNKER</color>, WATER, OB. READ THE BANNER AFTER EVERY SHOT",落ちる場所が大事：<color=#EEDC9A>フェアウェイ</color>・カラー・ラフ・<color=#EEDC9A>バンカー</color>・ウォーター・OB。ショット後のバナーを確認,true
TIP_MISSIONS,"40 <color=#EEDC9A>MISSIONS</color> ACROSS BEGINNER, AMATEUR, PRO AND LEGEND. CLEAR <color=#EEDC9A>8 OF 10</color> TO UNLOCK THE NEXT TIER",ビギナー・アマチュア・プロ・レジェンドの40<color=#EEDC9A>ミッション</color>。<color=#EEDC9A>10個中8個</color>クリアで次のティアが開放,true
TIP_DAILY,"THE <color=#EEDC9A>DAILY MISSION</color> PAYS 30 RP. KEEP THE <color=#EEDC9A>STREAK</color>: DAY 3 PAYS +15, DAY 7 PAYS +30. MISS A DAY AND IT RESETS",<color=#EEDC9A>デイリーミッション</color>は30 RP。<color=#EEDC9A>連続</color>を続けよう：3日目は+15、7日目は+30。1日逃すとリセット,true
TIP_TOURNAMENT,"<color=#EEDC9A>TOURNAMENTS</color> RUN ON THEIR OWN STAMINA POOL. IT NEVER REFILLS DURING THE EVENT, SO PACE YOUR ROUNDS",<color=#EEDC9A>トーナメント</color>は専用のスタミナプールで戦う。大会中は回復しないので配分を考えよう,true
TIP_VERSUS,"<color=#EEDC9A>1V1</color>: ONE HOLE, ALTERNATE SHOTS, FIRST TO SINK WINS. TRAILING? YOU GET ONE SHOT TO TIE. A WIN PAYS <color=#EEDC9A>200 RP</color>",<color=#EEDC9A>1V1</color>：1ホール、交互にショット、先にカップインした方が勝ち。後攻には同点にする1打がある。勝てば<color=#EEDC9A>200 RP</color>,true
TIP_LEADERBOARD,"<color=#EEDC9A>LEADERBOARDS</color> RANK REWARD POINTS EARNED. DAILY, WEEKLY AND MONTHLY RESET; <color=#EEDC9A>HISTORY</color> NEVER DOES",<color=#EEDC9A>リーダーボード</color>は獲得リワードポイント順。デイリー・ウィークリー・マンスリーはリセット、<color=#EEDC9A>ヒストリー</color>は永久,true
TIP_RP,"<color=#EEDC9A>REWARD POINTS</color> ARE THE ONLY CURRENCY. EARN THEM ON EVERY HOLE, MISSION AND ROUND. THEY ARE NEVER FOR SALE",<color=#EEDC9A>リワードポイント</color>が唯一の通貨。ホール・ミッション・ラウンドで稼ごう。課金では買えない,true
TIP_GACHA,"PULLS COST <color=#EEDC9A>TICKETS</color>, AND A <color=#EEDC9A>X10</color> IS CHEAPER THAN TEN SINGLES. EVERY BANNER SHOWS ITS RATES, PITY AND X10 GUARANTEE. DUPLICATES CONVERT TO RP",ガチャには<color=#EEDC9A>チケット</color>が必要。<color=#EEDC9A>10連</color>は単発10回より安い。各バナーに確率・天井・10連保証を表示。重複はRPに変換,true
TIP_STORE,THE STORE LINEUP <color=#EEDC9A>ROTATES WEEKLY</color>. WATCH FOR NEW TAGS AND THE COUNTDOWN. <color=#EEDC9A>HISTORY</color> KEEPS YOUR PURCHASE LOG,ストアの品揃えは<color=#EEDC9A>週替わり</color>。NEWタグとカウントダウンに注目。<color=#EEDC9A>ヒストリー</color>に購入履歴が残る,true
TIP_GPS_CHECKIN,"PLAYING FOR REAL? <color=#EEDC9A>CHECK IN</color> AT THE COURSE IN PLAYLIFE ROUNDS FOR +30 PTS, <color=#EEDC9A>CHECK OUT</color> FOR +15. GPS-VERIFIED ONLY",リアルゴルフの日は PLAYLIFE ラウンドでコースに<color=#EEDC9A>チェックイン</color>して+30 pts、<color=#EEDC9A>チェックアウト</color>で+15。GPS認証が必要,true
TIP_GPS_SOCIAL,"<color=#EEDC9A>VOTE</color> ON OTHER GOLFERS' QUESTIONS FOR +10 PTS, OR SEND A <color=#EEDC9A>GIFT</color> TO SUPPORT YOUR FAVOURITE",他のゴルファーの質問に<color=#EEDC9A>投票</color>して+10 pts。推しには<color=#EEDC9A>ギフト</color>を贈って応援しよう,true
TIP_GPS_WALLET,"PLAYLIFE POINTS AND GAME RP ARE <color=#EEDC9A>ONE WALLET</color>. EARN ON THE COURSE, SPEND IN THE GAME",PLAYLIFEのポイントとゲームのRPは<color=#EEDC9A>ひとつの財布</color>。コースで稼いでゲームで使おう,true
TIP_GRAPHICS,FRAMES DROPPING? <color=#EEDC9A>SETTINGS › GRAPHICS</color>. AUTO PICKS FOR YOUR DEVICE. THE COURSE IS IDENTICAL ON EVERY TIER,動きが重い？<color=#EEDC9A>設定 › グラフィック</color>へ。AUTOが端末に合わせて選ぶ。コースはどの設定でも同じ,true
TIP_REPAIR,"<color=#EEDC9A>REPAIR KITS</color> RESTORE CLUB DURABILITY: 50%, 75% OR 100% BY RARITY. REPAIR ALWAYS USES YOUR BEST KIT FIRST",<color=#EEDC9A>リペアキット</color>はクラブの耐久度を回復：レア度により50%・75%・100%。修理は常に最良のキットから使う,true
TIP_TIMING,HIT THE BALL WHEN <color=#EEDC9A>HIGHLIGHTED</color> FOR A <color=#EEDC9A>PURE</color> SHOT,ハイライト時にボールを打つとピュアなショット,false
HOME_CURRENCY_LABEL,COINS,コイン,true
HOME_USERNAME,USERNAME,ユーザー名,true
HOME_DAILY_PILL,NEW DAILY MISSION!,新しいデイリーミッション！,true
HOME_GPS_PILL,GPS,GPS,true
# unused since home_notices — the two HOME_MAINTENANCE_* rows below are no longer read by HomeScreenController; the Home notice comes from GET /api/v1/notices. Kept only to avoid CSV churn. (No commas: LocalizationTextImporter skips any line with fewer than 3 columns.)
HOME_MAINTENANCE_TITLE,MAINTENANCE NOTICE,メンテナンス情報,true
HOME_MAINTENANCE_BODY,Scheduled server maintenance: 2025/12/31\nThe game will not be available for a short time\nduring maintenance.,定期サーバーメンテナンス: 2025/12/31\nメンテナンス中はゲームをご利用いただけません。,true
HOME_DEMO_WELCOME_TITLE,WELCOME TO THE DEMO,デモ版へようこそ,true
HOME_DEMO_WELCOME_BODY,Thanks for trying this early GOLFIN preview!\nMuch more is on the way.\nStay tuned for great things to come.,GOLFINデモ版をお試しいただき\nありがとうございます。\n今後の展開にご期待ください！,true
HOME_GPS_TITLE,GOLFIN·GPS,ゴルフィン・GPS,true
HOME_GPS_SUBTITLE,CHECK-IN WITH GPS,GPSでチェックイン,true
HOME_GPS_DESC,EARN MORE POINTS TO POWER UP!,ポイントを稼いでパワーアップ！,true
HOME_NEXT_HOLE,NEXT HOLE,次のホール,true
HOME_COURSE_NAME,Lomond Country Club  - Hole 5,ロモンドカントリークラブ - ホール5,true
HOME_PLAY,PLAY,プレイ,true
HOME_NAV_HOME,HOME,ホーム,true
HOME_NAV_SHOP,SHOP,ショップ,true
HOME_NAV_PLAY,PLAY,プレイ,true
HOME_NAV_BAG,BAG,バッグ,true
HOME_NAV_MORE,MORE,その他,true
HOME_SETTINGS,SETTINGS,設定,true
HOLE_LOMOND_1,Lomond Country Club  - Hole 1,ロモンドカントリークラブ  - ホール1,true
HOLE_LOMOND_2,Lomond Country Club  - Hole 2,ロモンドカントリークラブ  - ホール2,true
HOLE_LOMOND_3,Lomond Country Club  - Hole 3,ロモンドカントリークラブ  - ホール3,true
HOLE_LOMOND_4,Lomond Country Club  - Hole 4,ロモンドカントリークラブ  - ホール4,true
HOLE_LOMOND_5,Lomond Country Club  - Hole 5,ロモンドカントリークラブ  - ホール5,true
HOLE_LOMOND_6,Lomond Country Club  - Hole 6,ロモンドカントリークラブ  - ホール6,true
HOLE_LOMOND_7,Lomond Country Club  - Hole 7,ロモンドカントリークラブ  - ホール7,true
HOLE_LOMOND_8,Lomond Country Club  - Hole 8,ロモンドカントリークラブ  - ホール8,true
HOLE_LOMOND_9,Lomond Country Club  - Hole 9,ロモンドカントリークラブ  - ホール9,true
HOLE_LOMOND_10,Lomond Country Club  - Hole 10,ロモンドカントリークラブ  - ホール10,true
HOLE_LOMOND_11,Lomond Country Club  - Hole 11,ロモンドカントリークラブ  - ホール11,true
HOLE_LOMOND_12,Lomond Country Club  - Hole 12,ロモンドカントリークラブ  - ホール12,true
HOLE_LOMOND_13,Lomond Country Club  - Hole 13,ロモンドカントリークラブ  - ホール13,true
HOLE_LOMOND_14,Lomond Country Club  - Hole 14,ロモンドカントリークラブ  - ホール14,true
HOLE_LOMOND_15,Lomond Country Club  - Hole 15,ロモンドカントリークラブ  - ホール15,true
HOLE_LOMOND_16,Lomond Country Club  - Hole 16,ロモンドカントリークラブ  - ホール16,true
HOLE_LOMOND_17,Lomond Country Club  - Hole 17,ロモンドカントリークラブ  - ホール17,true
HOLE_LOMOND_18,Lomond Country Club  - Hole 18,ロモンドカントリークラブ  - ホール18,true
SETTINGS_PROFILE,User Profile,ユーザープロフィール,true
SETTINGS_USERNAME,Username,ユーザー名,true
SETTINGS_NAME,Name,名前,true
SETTINGS_CHANGE,CHANGE,変更,true
SETTINGS_SOUND,Sound Settings,サウンド設定,true
SETTINGS_MUSIC,Music,ミュージック,true
SETTINGS_MUSICVOLUME,80,80,true
SETTINGS_SFX,SFX,効果音,true
SETTINGS_SFXVOLUME,80,80,true
SETTINGS_GRAPHICS,Graphics,グラフィック,true
SETTINGS_QUALITY_AUTO,Auto,自動,true
SETTINGS_QUALITY_LOW,Low,低,true
SETTINGS_QUALITY_MID,Medium,中,true
SETTINGS_QUALITY_HIGH,High,高,true
SETTINGS_CONTROLS,Controls,操作方法,true
SETTINGS_CONTROLS_FLICK,Flick,フリック,true
SETTINGS_CONTROLS_PENDULUM,Pendulum,振り子,true
SETTINGS_CONTROLS_TAPTIMING,Tap Timing,タップタイミング,true
SETTINGS_CONTROLS_FREESWING,Free Swing,フリースイング,true
SETTINGS_LANG,Language,言語,true
SETTINGS_ENG,English,English,true
SETTINGS_JAP,日本語,日本語,true
SETTINGS_TERMS,Terms of Use,利用規約,true
SETTINGS_PRIVACY,Privacy Policy,プライバシーポリシー,true
SETTINGS_FAQ,FAQ,よくある質問,true
SETTINGS_ABOUT,About,アバウト,true
SETTINGS_CONTACT,Contact Form,お問い合わせ,true
SETTINGS_LOGOUT,Log Out,ログアウト,true
SETTINGS_CLOSE,CLOSE,閉じる,true
SETTINGS_ABOUT_APP_VERSION,APP VERSION,アプリバージョン,true
SETTINGS_ABOUT_LICENCES,LICENCES,ライセンス,true
ROSTER_TITLE,ROSTER,ロスター,true
ROSTER_STRENGTH,STRENGTH,ストレングス,true
ROSTER_CLUB_CONTROL,CLUB CONTROL,クラブコントロール,true
ROSTER_RECOVERY,RECOVERY,リカバリー,true
ROSTER_STAMINA,STAMINA,スタミナ,true
ROSTER_LEVEL_UP,LEVEL UP,レベルアップ,true
ROSTER_BOOST,BOOST,ブースト,true
ROSTER_BIO,BIO,バイオ,true
ROSTER_COMPARE,COMPARE,比較,true
ROSTER_SELECT,SELECT,選択,true
ROSTER_SELECTED,SELECTED,選択済み,true
ROSTER_SWAP,SWAP,交換,true
MODAL_NEXT_LEVEL,NEXT LEVEL,次のレベル,true
MODAL_COST,COST,コスト,true
MODAL_REWARD,REWARD,報酬,true
MODAL_LEVEL_UP,LEVEL UP,レベルアップ,true
MODAL_AVAILABLE_SP,AVAILABLE SP,利用可能SP,true
MODAL_RESET,RESET,リセット,true
MODAL_CANCEL,CANCEL,キャンセル,true
MODAL_CONFIRM,CONFIRM,確認,true
MODAL_SP_SUFFIX,SP,SP,true
COMPARE_EMPTY_PROMPT,TAP ON ANY OTHER CHARACTER TO COMPARE STATS,他のキャラクターをタップしてステータスを比較,true
COMPARE_CLOSE,CLOSE COMPARE,比較を閉じる,true
RARITY_COMMON,COMMON,コモン,true
RARITY_UNCOMMON,UNCOMMON,アンコモン,true
RARITY_RARE,RARE,レア,true
RARITY_MYTHIC,MYTHIC,ミシック,true
RARITY_LEGENDARY,LEGENDARY,レジェンダリー,true
RARITY_SUPREME,SUPREME,スプリーム,true
CLUB_POWER,POWER,パワー,true
CLUB_ACCURACY,ACCURACY,アキュラシー,true
CLUB_LIE_RESISTANCE,LIE RESIST.,ライ耐性,true
CLUB_LOFT,LOFT,ロフト,true
CLUB_DURABILITY,DURABILITY,耐久性,true
CLUB_DISTANCE,DISTANCE,飛距離,true
CLUB_LEVEL_UP,LEVEL UP,レベルアップ,true
CLUB_REPAIR,REPAIR,修理,true
CLUB_COMPARE,COMPARE,比較,true
CLUB_EQUIP,EQUIP,装備,true
CLUB_EQUIPPED,EQUIPPED,装備済み,true
CLUB_INFO,INFO,情報,true
CLUB_IN_BAG,IN BAG,バッグ,true
CLUB_COMPARE_EMPTY_PROMPT,TAP ON ANY OTHER CLUB TO COMPARE STATS,他のクラブをタップしてステータスを比較,true
CLUB_CLOSE_COMPARE,CLOSE COMPARE,比較を閉じる,true
CLUB_SWAP,SWAP,交換,true
CLUB_MODAL_LEVEL_UP,Level Up,レベルアップ,true
CLUB_MODAL_NEXT_LEVEL,Next Level,次のレベル,true
CLUB_MODAL_COST,Cost,コスト,true
CLUB_MODAL_REWARD,Reward,報酬,true
CLUB_MODAL_SP_SUFFIX,SP,SP,true
CLUB_MODAL_AVAILABLE_SP,Available SP,利用可能SP,true
CLUB_MODAL_RESET,Reset,リセット,true
CLUB_MODAL_CANCEL,Cancel,キャンセル,true
CLUB_MODAL_CONFIRM,Confirm,確認,true
CLUB_STAT_POWER,Power,パワー,true
CLUB_STAT_ACCURACY,Accuracy,精度,true
CLUB_STAT_LIE_RES,Lie Res.,ライ抵抗,true
CLUB_STAT_LOFT_FIXED,Loft (Fixed),ロフト（固定）,true
CLUB_STAT_DURABILITY,Durability,耐久性,true
CLUB_MODAL_MAX,MAX,MAX,true
CLUB_REPAIR_NO_KITS,You don't own any Repair Kits.,修理キットを持っていません。,true
CLUB_REPAIR_FULL,This club is at full durability.,このクラブは最大耐久性です。,true
CLUB_REPAIR_TOAST,{0} was repaired. Durability {1} → {2}.,{0}が修理されました。耐久性 {1} → {2}。,true
BAG_CHOOSE_TITLE,Choose a Bag,バッグを選択,true
BAG_LOCKED,Locked,ロック,true
BAG_FULL_TOAST,Bag {0} is full ({1}/{1}). Remove a club first.,バッグ{0}は満杯です（{1}/{1}）。先にクラブを外してください。,true
BAG_EQUIPPED_TOAST,{0} equipped to Bag {1}.,{0}をバッグ{1}に装備しました。,true
BAG_UNEQUIPPED_TOAST,{0} removed from Bag {1}.,{0}をバッグ{1}から外しました。,true
BALL_OWNED,OWNED,所持,true
BALL_INFO,INFO,情報,true
BALL_POWER,POWER,パワー,true
BALL_REBOUND,REBOUND,リバウンド,true
BALL_WIND_RESISTANCE,WIND RES.,耐風,true
BALL_ROLL,ROLL,ロール,true
BALL_SPIN,SPIN,スピン,true
BALL_COMPARE_EMPTY_PROMPT,Select a ball to compare,比較するボールを選んでください,true
ITEM_RESTORES,RESTORES,回復,true
ITEM_PRO_TIP,*PRO TIP,*プロのコツ,true
ITEM_INFO,INFO,情報,true
ITEM_USE,USE,使う,true
ITEM_COMPARE,COMPARE,比較,true
ITEM_OWNED,OWNED,所持数,true
ITEM_DURABILITY,DURABILITY,耐久度,true
ITEM_SELECT_CLUB,SELECT CLUB,クラブを選択,true
ITEM_USE_REPAIR_KIT,USE REPAIR KIT,修理キットを使う,true
ITEM_CANCEL,CANCEL,キャンセル,true
BAG_EQUIPPED,EQUIPPED,装備中,true
BAG_EQUIP,EQUIP,装備,true
BAG_SWAP,SWAP,交換,true
BAG_SWAP_CLUB,SWAP CLUB,クラブを交換,true
BAG_EQUIP_CLUB,EQUIP CLUB,クラブを装備,true
BAG_EQUIP_ACTION,EQUIP,装備,true
BAG_CANCEL,CANCEL,キャンセル,true
HOLE_LOMOND_1_DESC,The right side is wide; aim the <color=#EEDC9A>tee shot</color> at the <color=#EEDC9A>sloping area in the centre</color> of the <color=#EEDC9A>two-tiered fairway</color>. The landing spot of the <color=#EEDC9A>second shot</color> is crucial.,ティーショットは右側が広く、二段のフェアウェイセンターの傾斜部が狙い目です。2打目の落とし所が重要。,true
HOLE_LOMOND_2_DESC,"A nearly straight hole. The <color=#EEDC9A>fairway is tight on both sides</color> — play the <color=#EEDC9A>tee shot</color> carefully. The area <color=#EEDC9A>behind the green</color> is also tight, so beware.",ほぼストレートなホール。左右が狭いのでティーショットは慎重に。グリーン奥は狭いので注意。,true
HOLE_LOMOND_3_DESC,"A short par-4. <color=#EEDC9A>Both sides of the fairway are tight</color>, so a reliable <color=#EEDC9A>tee shot</color> is essential. Watch the area <color=#EEDC9A>behind the green</color>, which also narrows.",距離の短いミドルホール。左右ともに狭いので確実なティーショットが必要とされるホール。グリーン奥も狭いので注意。,true
HOLE_LOMOND_4_DESC,"The shortest par-3 on the course. The green slopes from <color=#EEDC9A>right to left</color>, so attacking from the <color=#EEDC9A>right side</color> is best. Missing into the <color=#EEDC9A>slope below the green's left edge</color> spells trouble.",最も短いショートホール。グリーン右から傾斜の為、右サイドから攻めるのがベスト。グリーン左斜面下に落ちると苦戦します。,true
HOLE_LOMOND_5_DESC,"A long par-4. Aim the <color=#EEDC9A>tee shot</color> at the <color=#EEDC9A>left hillside</color>. The fairway is wide — swing freely. From the <color=#EEDC9A>approach</color>, beware the <color=#EEDC9A>pond left of the green</color>.",距離の長いミドルホール。ティーショットは左山側狙い。フェアウェイは広いので思い切って飛ばして下さい。セカンドからはグリーン左側の池に注意。,true
HOLE_LOMOND_6_DESC,A par-3 over water. Don't force it — aim for the <color=#EEDC9A>centre of the green</color>. The <color=#EEDC9A>pond</color> is a <color=#EEDC9A>lateral water hazard</color>.,池越えのショートホール。無理をせずグリーン中央狙いです。池はラテラルウォーターハザード。,true
HOLE_LOMOND_7_DESC,"The signature <color=#EEDC9A>valley</color>-carry hole. With the valley waiting ahead, longer hitters should choose their <color=#EEDC9A>club carefully</color>. The green is split into <color=#EEDC9A>two tiers left and right</color> — landing on the <color=#EEDC9A>same level as the pin</color> is the key.",名物谷越えホール。前方に谷がある為、距離の出る人はクラブ選択を慎重に。グリーンも左右で二段になっている為、ピン位置と同じ面に乗せるのがカギ。,true
HOLE_LOMOND_8_DESC,"A par-5 <color=#EEDC9A>dogleg right</color>. Aim the <color=#EEDC9A>tee shot</color> just <color=#EEDC9A>left of fairway centre</color>. The <color=#EEDC9A>fairway narrows on both sides</color> from the second shot on, so playing it safe is wise. Long hitters can <color=#EEDC9A>reach the green in two</color>.",右ドッグレッグのロングホール。ティーショットはフェアウェイセンターやや左狙い。セカンド以降は左右が狭いので手堅くきざむのが無難。距離の出る人はオン可能なホール。,true
HOLE_LOMOND_9_DESC,"A par-4 with a <color=#EEDC9A>wide fairway</color>. The <color=#EEDC9A>approach plays uphill</color>, so choose your <color=#EEDC9A>club carefully</color>.",フェアウェイの広いミドルホール。セカンドショットから打ち上げとなるのでクラブ選択を慎重に。,true
HOLE_LOMOND_10_DESC,A par-4 <color=#EEDC9A>dogleg left</color>. Aim the <color=#EEDC9A>tee shot</color> at the <color=#EEDC9A>left hillside</color>. The <color=#EEDC9A>approach plays downhill</color> — judge the distance and club choice carefully.,左ドッグレッグのミドルホール。ティーショットは左山側狙い。セカンドからは打ち下ろしとなるので距離感とクラブ選択は慎重に。,true
HOLE_LOMOND_11_DESC,A <color=#EEDC9A>downhill</color> par-3. Both sides of the green and the area behind it are <color=#EEDC9A>tight</color> — attacking from <color=#EEDC9A>short of the green</color> is the play.,打ち下ろしのショートホール。左右とグリーン奥が狭く、手前から攻めて行くのがポイント。,true
HOLE_LOMOND_12_DESC,"An <color=#EEDC9A>uphill</color> par-4. The <color=#EEDC9A>tee shot</color> from the front tee isn't difficult, but the approach plays uphill — choose your <color=#EEDC9A>club carefully</color>.",打ち上げのミドルホール。フロントティからのティーショットは難しくないが、セカンドから打ち上げとなっているのでクラブ選択は慎重に。,true
HOLE_LOMOND_13_DESC,"A par-5 <color=#EEDC9A>dogleg left</color>. The entire <color=#EEDC9A>left side is OB</color>, so aim the <color=#EEDC9A>tee shot</color> at the centre. A <color=#EEDC9A>pond guards the left of the green</color>, so play the second shot safely down the centre and decide the hole on your <color=#EEDC9A>third</color>.",左ドッグレッグのロングホール。左は全てOBとなっている為、ティーショットはセンター狙いで行くと良い。セカンドからはグリーン左が池になっている為、セカンドもセンター狙いに確実にきざんで3打目勝負。,true
